comment_id,parent_comment_id,content,publish_time,ip_location,sub_comment_count,like_count,dislike_count,content_id,content_type,user_id,user_link,user_nickname,user_avatar,last_modify_ts
180524499,,最后一句可是有责任了😀,1478675984,,0,0,0,130548679,answer,5a2f5de7ba43375a029e0eba448a95b5,https://www.zhihu.com/people/dou-fang-xiao-kai,豆坊小开,https://pic1.zhimg.com/v2-7746a3131a2be641a360bb24a85b6b97.jpg?source=06d4cd63,1733713593468
180519826,,这，最后一句，不是祂老人家说的吗？,1478675479,,1,0,0,130548679,answer,dc71c5531821669bfa76816a45401959,https://www.zhihu.com/people/CBBing,向前冲,https://pic1.zhimg.com/c15eb9cbe375147da5ceb547ea2bf277.jpg?source=06d4cd63,1733713593472
180536839,,“我就呵呵了，整天只会喊口号、连人民群众的基本需求都想不明白的人，也有脸自称精英？” 不能同意更多！,1478677355,,0,0,0,130548679,answer,3e85603725c045f6668e00dd189f9f89,https://www.zhihu.com/people/zj-wolf,Kevin Wolf,https://pica.zhimg.com/v2-069d4ea7272b38d79f7e43abb619bd32.jpg?source=06d4cd63,1733713593475
180523955,,最后一句话好像哪里不对,1478675924,,0,0,0,130548679,answer,0e71c52c63a252da5dbc3f31a32b2669,https://www.zhihu.com/people/yin-you-shi-ren-64,吟游诗人,https://pic1.zhimg.com/v2-bfd56b493172a4490643374590bd1bca.jpg?source=06d4cd63,1733713593478
180520644,,逼近不是我裆亲盯的,1478675562,,0,0,0,130548679,answer,29c5b04248d83a42dc32b74f3fd9e4a1,https://www.zhihu.com/people/liang-ming-25,哎 同学,https://pic1.zhimg.com/v2-714dc46a6fe5592d1fec82f240e433bb.jpg?source=06d4cd63,1733713593480
180539905,,祝福美国候任总统特朗普、候任副总统麦克.彭斯执政顺利，国运兴隆、重现辉煌！,1478677698,,0,0,0,130548679,answer,650cd56e50524f0467db77b7acedcaf1,https://www.zhihu.com/people/zai-sheng-yuan-xin-xi-wang,知乎用户W3UTX7,https://pic1.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=06d4cd63,1733713593482
180541884,,被迫在两个烂人里面选择一个，这样居然被吹嘘成了美国民主制度纠错能力强？这个笑话真的不好笑。,1478677931,,6,0,0,130548679,answer,852acacc2efe45b639d1b90db8c35b86,https://www.zhihu.com/people/zhou-ru-mo,周濡沫,https://pic1.zhimg.com/v2-8e723bf2593c7f25059f44e416191161.jpg?source=06d4cd63,1733713593485
180530681,,可是那句话是JZM说的啊！不是MZD……,1478676680,,1,0,0,130548679,answer,c4cf9ab0bd6251e1344a13ebe3c9c8cb,https://www.zhihu.com/people/xie-jing-84,叶京,https://pic1.zhimg.com/5579837bb.jpg?source=06d4cd63,1733713593487
180526878,,最后一句话你找错出处了,1478676249,,0,0,0,130548679,answer,dad359d2b4edcedccdc3564dd8c102de,https://www.zhihu.com/people/qing-yu-xiao-63,阿房宫打坐,https://pic1.zhimg.com/v2-68091020b7acb6ba2f155370af2e1321.jpg?source=06d4cd63,1733713593490
180540994,,北上广深杭似乎也在走向和中国广大复地的割裂之路，但是吧，知乎上似乎这几个地方的人还比较多。,1478677822,,1,0,0,130548679,answer,7285fe7624e5d308ee72db2b77210c1a,https://www.zhihu.com/people/luo-shuang-93-66,罗双,https://pic1.zhimg.com/v2-75f03e327c8efb3be2729ab2a3329191.jpg?source=06d4cd63,1733713593492
11032357628,,“不要相信在野党，上了台都一样！”,1730650902,,25,0,0,22172617003,answer,deac7c11fddfcec3e719f668598e1a72,https://www.zhihu.com/people/zhen-zheng-de-bai-lei,真正的败类,https://picx.zhimg.com/v2-d148df687dec7cef249c498e44b46d92.jpg?source=06d4cd63,1733713596713
11032386080,,就不能都当选，然后马和盖组成复仇者联盟再打回来吗？,1730654628,,9,0,0,22172617003,answer,c1bc175f5e44655d21e1979b4c187a87,https://www.zhihu.com/people/jin-zi-bei-52,哞哞哞,https://picx.zhimg.com/v2-beff97bfec195474dc0184799942756c.jpg?source=06d4cd63,1733713596716
